,Actors
783, Mindy Kaling
784, Analeigh Tipton
785, Thandie Newton
786, Amanda Peet
787, Julia Stiles
788, Maria Bello
789, Eva Mendes
790, Emily Blunt
791, Rose Byrne
792, Ashley Judd
793, Emilia Clarke
794, Christina Applegate
795, Nia Long
796, Felicity Jones
797, Téa Leoni
798, Alexandra Daddario
799, Jena Malone
800, Richard Gere
801, Nick Frost
802, Ray Liotta
803, Chris Rock
804, Jon Hamm
805, Neil Patrick Harris
806, Charlie Sheen
807, Mark Rylance
808, Andy Garcia
809, Michael Lerner
810, Graham Greene
811, Bruce Davison
812, Dan Aykroyd
813, Danny Aiello
814, River Phoenix
815, Dean Stockwell
816, Billy Crystal
817, John Goodman
818, Orlando Bloom
819, Stellan Skarsgård
820, Alexander Skarsgård
821, Mike Myers
822, Tyrese Gibson
823, Elijah Wood
824, Danny DeVito
825, Lucy Liu
826, Rebecca Romijn
827, Michelle Rodriguez
828, Sarah Michelle Gellar
829, Beyoncé
830, Rebecca Hall
831, Piper Perabo
832, Courteney Cox
833, Parker Posey
834, Paula Patton
835, Michelle Monaghan
836, Claire Danes
837, Ali Larter
838, Kate Bosworth
839, Evan Rachel Wood
840, Mira Sorvino
841, Ziyi Zhang
842, Amanda Crew
843, Amanda Bynes
844, Lisa Kudrow
845, Neve Campbell
846, Ellen DeGeneres
847, Sofía Vergara
848, Mandy Moore
849, Virginia Madsen
850, James Marsden
851, Tim Allen
852, Giovanni Ribisi
853, Rutger Hauer
854, Vince Vaughn
855, Brian Cox
856, Dennis Quaid
857, John Leguizamo
858, Michael Keaton
859, Billy Burke
860, Brendan Gleeson
861, Clark Gregg
862, Jonathan Pryce
863, Tobey Maguire
864, Michael Sheen
865, Justin Long
866, Kellan Lutz
867, Jack Black
868, Pierce Brosnan
869, Sean Bean
870, Cedric the Entertainer
871, Mahershala Ali
872, Josh Duhamel
873, Jon Favreau
874, Danny Glover
875, Freida Pinto
876, Hilary Duff
877, Mary Elizabeth Winstead
878, Jennifer Coolidge
879, Andrea Riseborough
880, Molly Ringwald
881, January Jones
882, Maya Rudolph
883, Sophie Marceau
884, Olga Kurylenko
885, Franka Potente
886, Rashida Jones
887, Alicia Silverstone
888, Rosie Huntington-Whiteley
889, Lillian Gish
890, Evangeline Lilly
891, Mireille Enos
892, Jennifer Love Hewitt
893, Emmy Rossum
894, Joey King
895, Ginnifer Goodwin
896, Christine Taylor
897, Vanessa Hudgens
898, Abbie Cornish
899, Michelle Yeoh
900, Ian Holm
901, Nathan Lane
902, Cary Elwes
903, Martin Lawrence
904, Steve Coogan
905, Sacha Baron Cohen
906, Jeffrey Wright
907, Jackie Chan
908, Aaron Eckhart
909, Sam Worthington
910, Jack Davenport
911, Alfred Molina
912, Justin Bartha
913, Mark Hamill
914, Brendan Fraser
915, Ice Cube
916, Liev Schreiber
917, Ed Helms
918, Val Kilmer
919, Russell Brand
920, Craig T. Nelson
921, Bernie Mac
922, Patrick Stewart
923, Seth Green
924, Ashton Kutcher
925, Randy Quaid
926, Wesley Snipes
927, David Oyelowo
928, Mark Strong
929, Rob Schneider
930, Jay Baruchel
931, Hayden Christensen
932, Ray Stevenson
933, Paul Bettany
934, Hugh Laurie
935, Chris Tucker
936, Nick Swardson
937, Josh Lucas
938, Chris O'Donnell
939, Benjamin Bratt
940, Common
941, Johnny Knoxville
942, Marlon Wayans
943, Jai Courtney
944, Albert Brooks
945, Macaulay Culkin
946, Sam Elliott
947, Jim Caviezel
948, Paul Scofield
949, Jared Harris
950, Harpo Marx
951, Jason Sudeikis
952, Josh Hartnett
953, Patrick Wilson
954, Cillian Murphy
955, Billy Crudup
956, Christopher Mintz-Plasse
957, Anthony Mackie
958, Timothy Olyphant
959, Josh Gad
960, Luke Wilson
961, Peter Sarsgaard
962, Rhys Ifans
963, Topher Grace
964, Kevin Hart
965, Paul Dano
966, Lenny Kravitz
967, Bill Hader
968, Rob Lowe
969, David Spade
970, Rob Riggle
971, Lance Henriksen
972, Richard Jenkins
973, Mike Vogel
974, Michael Ealy
975, Freddie Prinze Jr.
976, Jamie Bell
977, Danny McBride
978, Jonathan Rhys Meyers
979, Michael Cera
980, Bill Paxton
981, Chris Klein
982, Ioan Gruffudd
983, Andrew Lincoln
984, Bill Pullman
985, Craig Robinson
986, Charlie Day
987, Andy Samberg
988, Garrett Hedlund
989, Cam Gigandet
990, John Krasinski
991, Kevin James
992, Breckin Meyer
993, Christopher Reeve
994, James McAvoy
995, Rufus Sewell
996, Ned Beatty
997, John Cleese
998, John Turturro
999, Jerry Lewis
